,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185
auc,0.9230191894194492,0.9230191894194492,0.9012738853503185,0.9230191894194492,0.9230191894194492,0.9012738853503185,0.9012738853503185,0.9012738853503185,0.9012738853503185
sen,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293,0.89171974522293
spec,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707,0.910828025477707
mcc,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602,0.8026943265142602
f1_score,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601,0.9003215434083601
