,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9269230769230768,0.9423076923076923,0.9038461538461539,0.9038461538461539,0.9038461538461539
auc,0.9822485207100591,0.9881656804733725,0.9607988165680474,0.9911242603550294,0.9538461538461538,0.9585798816568047,0.9038461538461539,0.9038461538461539,0.9038461538461539
sen,0.8846153846153848,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9307692307692308,0.9615384615384615,0.8846153846153848,0.8846153846153848,0.8846153846153848
spec,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
mcc,0.8082903768654759,0.885270412757426,0.885270412757426,0.885270412757426,0.8544783984006459,0.885270412757426,0.8082903768654759,0.8082903768654759,0.8082903768654759
f1_score,0.9019607843137256,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.926822049574547,0.9433962264150944,0.9019607843137256,0.9019607843137256,0.9019607843137256
