,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.9423076923076923,0.9615384615384615,0.9615384615384615,0.9192307692307692,0.9615384615384615,0.8634615384615385,0.8673076923076923,0.9038461538461539
auc,0.9829881656804733,0.9859467455621302,0.9800295857988168,0.9874260355029586,0.9714497041420118,0.9600591715976332,0.8634615384615385,0.8673076923076923,0.9038461538461539
sen,0.9230769230769231,0.9230769230769231,0.9615384615384615,0.9615384615384615,0.903846153846154,0.9615384615384615,0.8307692307692308,0.8423076923076922,0.8846153846153848
spec,0.8846153846153848,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9346153846153846,0.9615384615384615,0.8961538461538463,0.8923076923076924,0.9230769230769231
mcc,0.8082903768654759,0.885270412757426,0.9230769230769231,0.9230769230769231,0.8398179745297467,0.9230769230769231,0.729446473493042,0.7363973271908895,0.8082903768654759
f1_score,0.9056603773584906,0.9411764705882353,0.9615384615384615,0.9615384615384615,0.9178267672816587,0.9615384615384615,0.857711161387632,0.86315987933635,0.9019607843137256
