,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.901923076923077,0.9038461538461539,0.9057692307692309,0.9423076923076923,0.8576923076923075,0.9057692307692309,0.7499999999999999,0.8076923076923077,0.7884615384615384
auc,0.9625,0.9569526627218936,0.9232988165680475,0.9657544378698226,0.9344674556213018,0.9234467455621302,0.7499999999999999,0.8076923076923077,0.7884615384615384
sen,0.8846153846153848,0.8884615384615386,0.8884615384615386,0.9615384615384615,0.776923076923077,0.8884615384615386,0.7576923076923078,0.7653846153846153,0.6923076923076924
spec,0.9192307692307693,0.9192307692307693,0.9230769230769231,0.9230769230769231,0.9384615384615385,0.9230769230769231,0.7423076923076924,0.85,0.8846153846153848
mcc,0.8043844161020054,0.8082903768654759,0.8120767237943131,0.885270412757426,0.7257419400350479,0.8120767237943131,0.5042164276089676,0.6214774462173617,0.5878963512522154
f1_score,0.9002262443438915,0.9023307436182023,0.9040723981900454,0.9433962264150944,0.8437426324831504,0.9040723981900454,0.7570265910416313,0.800251308830999,0.7659574468085106
