,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9140127388535032,0.8885350318471338,0.9140127388535032,0.910828025477707,0.8949044585987261,0.9140127388535032,0.9012738853503185,0.8853503184713376,0.8694267515923567
auc,0.9586190109132217,0.96016065560469,0.9140127388535032,0.9626556858290398,0.9478072132743722,0.9136678972777801,0.9012738853503185,0.8853503184713376,0.8694267515923567
sen,0.89171974522293,0.8726114649681529,0.89171974522293,0.9044585987261147,0.8662420382165605,0.89171974522293,0.89171974522293,0.8471337579617835,0.8407643312101911
spec,0.9363057324840764,0.9044585987261147,0.9363057324840764,0.9171974522292994,0.9235668789808917,0.9363057324840764,0.910828025477707,0.9235668789808917,0.8980891719745223
mcc,0.8288497269823397,0.7774644314502371,0.8288497269823397,0.8217227275806115,0.7911098346203792,0.8288497269823397,0.8026943265142602,0.772961774023272,0.7400704904513224
f1_score,0.9120521172638437,0.8867313915857605,0.9120521172638437,0.9102564102564102,0.8918032786885246,0.9120521172638437,0.9003215434083601,0.880794701986755,0.8655737704918033
