,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9140127388535032,0.9140127388535032,0.9140127388535032,0.9140127388535032,0.8885350318471338,0.9140127388535032,0.8885350318471338,0.8885350318471338,0.9012738853503185
auc,0.939713578644164,0.9399772810255994,0.9140127388535032,0.939713578644164,0.9385370603269909,0.9140127388535032,0.8885350318471338,0.8885350318471338,0.9012738853503185
sen,0.8980891719745223,0.8980891719745223,0.8980891719745223,0.8980891719745223,0.8726114649681529,0.8980891719745223,0.8726114649681529,0.8726114649681529,0.89171974522293
spec,0.9299363057324841,0.9299363057324841,0.9299363057324841,0.9299363057324841,0.9044585987261147,0.9299363057324841,0.9044585987261147,0.9044585987261147,0.910828025477707
mcc,0.8284457056436952,0.8284457056436952,0.8284457056436952,0.8284457056436952,0.7774644314502371,0.8284457056436952,0.7774644314502371,0.7774644314502371,0.8026943265142602
f1_score,0.9126213592233009,0.9126213592233009,0.9126213592233009,0.9126213592233009,0.8867313915857605,0.9126213592233009,0.8867313915857605,0.8867313915857605,0.9003215434083601
