,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.8949044585987261,0.8885350318471338,0.8949044585987261,0.8949044585987261,0.8885350318471338,0.8949044585987261,0.8885350318471338,0.8885350318471338,0.9012738853503185
auc,0.9225729238508662,0.9221266582822834,0.8949044585987261,0.9225729238508662,0.9221266582822834,0.9225729238508662,0.8885350318471338,0.8885350318471338,0.9012738853503185
sen,0.9171974522292994,0.8726114649681529,0.8471337579617835,0.9171974522292994,0.8726114649681529,0.8471337579617835,0.8726114649681529,0.8726114649681529,0.89171974522293
spec,0.8726114649681529,0.9044585987261147,0.9426751592356688,0.8726114649681529,0.9044585987261147,0.9426751592356688,0.9044585987261147,0.9044585987261147,0.910828025477707
mcc,0.7905951241985394,0.7774644314502371,0.7934385358181137,0.7905951241985394,0.7774644314502371,0.7934385358181137,0.7774644314502371,0.7774644314502371,0.8026943265142602
f1_score,0.897196261682243,0.8867313915857605,0.8896321070234114,0.897196261682243,0.8867313915857605,0.8896321070234114,0.8867313915857605,0.8867313915857605,0.9003215434083601
