,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9140127388535032,0.9140127388535032,0.9140127388535032,0.9140127388535032,0.9012738853503185,0.9140127388535032,0.8757961783439491,0.8885350318471338,0.8694267515923567
auc,0.957685910178912,0.9575236317903365,0.9140127388535032,0.9577264797760559,0.9554342975374255,0.9140127388535032,0.8757961783439491,0.8885350318471338,0.8694267515923567
sen,0.89171974522293,0.89171974522293,0.89171974522293,0.9044585987261147,0.8789808917197452,0.89171974522293,0.8726114649681529,0.8726114649681529,0.8407643312101911
spec,0.9363057324840764,0.9363057324840764,0.9363057324840764,0.9235668789808917,0.9235668789808917,0.9363057324840764,0.8789808917197452,0.9044585987261147,0.8980891719745223
mcc,0.8288497269823397,0.8288497269823397,0.8288497269823397,0.8281766860861415,0.8033466584598062,0.8288497269823397,0.7516076030513674,0.7774644314502371,0.7400704904513224
f1_score,0.9120521172638437,0.9120521172638437,0.9120521172638437,0.9131832797427653,0.8990228013029316,0.9120521172638437,0.8753993610223643,0.8867313915857605,0.8655737704918033
