,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.873076923076923,0.9423076923076923,0.8903846153846156,0.926923076923077,0.8576923076923079,0.8903846153846156,0.8269230769230769,0.8115384615384615,0.7884615384615384
auc,0.9673076923076925,0.978846153846154,0.9049556213017752,0.9754437869822485,0.9427514792899409,0.9043639053254438,0.8269230769230769,0.8115384615384615,0.7884615384615384
sen,0.8538461538461537,0.9615384615384615,0.8538461538461537,0.926923076923077,0.7730769230769231,0.8538461538461537,0.7692307692307694,0.75,0.6923076923076924
spec,0.8923076923076925,0.9230769230769231,0.926923076923077,0.926923076923077,0.9423076923076923,0.926923076923077,0.8846153846153847,0.873076923076923,0.8846153846153848
mcc,0.7467063481519158,0.885270412757426,0.7828921161051561,0.8538461538461537,0.7268156498196211,0.7828921161051561,0.6598379854013635,0.6296905947919594,0.5878963512522154
f1_score,0.8705882352941174,0.9433962264150944,0.8861176470588233,0.926923076923077,0.8427407729049067,0.8861176470588233,0.8143392381502519,0.7977291325695581,0.7659574468085106
