,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.898076923076923,0.9423076923076923,0.8923076923076924,0.8692307692307691,0.9038461538461539
auc,0.9837278106508875,0.9866863905325444,0.9607988165680474,0.989644970414201,0.9730769230769232,0.9423076923076923,0.8923076923076924,0.8692307692307691,0.9038461538461539
sen,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8807692307692309,0.9615384615384615,0.876923076923077,0.8615384615384615,0.8846153846153848
spec,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9153846153846155,0.9230769230769231,0.9076923076923078,0.8769230769230768,0.9230769230769231
mcc,0.885270412757426,0.885270412757426,0.885270412757426,0.885270412757426,0.7966921084096976,0.885270412757426,0.7850938399539193,0.7387007661308058,0.8082903768654759
f1_score,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.8963800904977377,0.9433962264150944,0.8907993966817498,0.8684766214177978,0.9019607843137256
