,Acc,Auc,Mcc,Sen,Sp
PC-PseAAC.csv,0.9012738853503185,0.9473406629072174,0.8026943265142602,0.89171974522293,0.910828025477707
PC-PseAAC-General.csv,0.9012738853503185,0.9473406629072174,0.8026943265142602,0.89171974522293,0.910828025477707
SC-PseAAC.csv,0.8885350318471338,0.9519250273844779,0.7774644314502371,0.8726114649681529,0.9044585987261147
SC-PseAAC-General.csv,0.8885350318471338,0.9519250273844779,0.7774644314502371,0.8726114649681529,0.9044585987261147
PDT.csv,0.8853503184713376,0.9484766116272465,0.772961774023272,0.8471337579617835,0.9235668789808917
DR.csv,0.8757961783439491,0.9494908515558441,0.7516076030513674,0.8726114649681529,0.8789808917197452
DP.csv,0.8694267515923567,0.9355349101383423,0.7400704904513224,0.8407643312101911,0.8980891719745223
-DT.csv,0.856687898089172,0.9398555722341676,0.7133902673029928,0.8598726114649682,0.8535031847133758
-Top-n-gram.csv,0.8503184713375797,0.9154123899549678,0.7038567656451009,0.802547770700637,0.8980891719745223
-PDT-Profile.csv,0.8471337579617835,0.9135867580834922,0.6979011115812507,0.7961783439490446,0.8980891719745223
kmer,0.8439490445859873,0.915696377134975,0.6879120434707431,0.8407643312101911,0.8471337579617835
-AC-PSSM.csv,0.8057324840764332,0.871353807456692,0.6124721300286806,0.7770700636942676,0.8343949044585988
-CC-PSSM.csv,0.802547770700637,0.8786157653454503,0.6122918762748453,0.7261146496815286,0.8789808917197452
ACC-PSSM.csv,0.7993630573248408,0.8751673495882186,0.6077812051314493,0.7133757961783439,0.8853503184713376
forward_5_PAM250,0.7643312101910829,0.8028723274777883,0.5290489009620468,0.7452229299363057,0.7834394904458599
backward_5_PAM250,0.7643312101910829,0.8028723274777883,0.5290489009620468,0.7452229299363057,0.7834394904458599
forward_5_Miyazawa_energies,0.7484076433121019,0.816787699298146,0.49730983618940383,0.7261146496815286,0.7707006369426752
backward_5_Miyazawa_energies,0.7484076433121019,0.816787699298146,0.49730983618940383,0.7261146496815286,0.7707006369426752
forward_5_BLOSUM62,0.7356687898089171,0.7953669520061666,0.4718067676668703,0.7133757961783439,0.7579617834394905
backward_5_BLOSUM62,0.7356687898089171,0.7953669520061666,0.4718067676668703,0.7133757961783439,0.7579617834394905
-PSSM-DT.csv,0.7292993630573248,0.8225891516897238,0.46017899330842227,0.6878980891719745,0.7707006369426752
forward_5_Acthely_factors,0.7165605095541401,0.7767455069171163,0.4356826551818107,0.6624203821656051,0.7707006369426752
backward_5_Acthely_factors,0.7165605095541401,0.7767455069171163,0.4356826551818107,0.6624203821656051,0.7707006369426752
forward_3_Miyazawa_energies,0.7133757961783439,0.7754878494056554,0.4267862228519455,0.7070063694267515,0.7197452229299363
forward_5_Meiler_parameters,0.7133757961783439,0.8003975820520103,0.42761989225410874,0.6815286624203821,0.7452229299363057
backward_5_Meiler_parameters,0.7133757961783439,0.8003975820520103,0.42761989225410874,0.6815286624203821,0.7452229299363057
backward_3_Miyazawa_energies,0.7133757961783439,0.7754878494056554,0.4267862228519455,0.7070063694267515,0.7197452229299363
backward_5_ANN4D,0.7101910828025477,0.7859953750659256,0.4205955120960299,0.6942675159235668,0.7261146496815286
forward_5_ANN4D,0.7101910828025477,0.7859953750659256,0.4205955120960299,0.6942675159235668,0.7261146496815286
forward_5_ProtVec,0.7070063694267515,0.7871718933830987,0.4181383073976685,0.6369426751592356,0.7770700636942676
backward_5_ProtVec,0.7070063694267515,0.7871718933830987,0.4181383073976685,0.6369426751592356,0.7770700636942676
