,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9807692307692306,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.876923076923077,0.9615384615384615,0.7923076923076923,0.8307692307692307,0.8076923076923077
auc,0.9970414201183433,0.9970414201183433,0.9800295857988168,0.9970414201183433,0.9826183431952662,0.9615384615384617,0.7923076923076924,0.830769230769231,0.8076923076923077
sen,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.9615384615384615,0.7692307692307692,0.9615384615384615,0.7461538461538462,0.75,0.6923076923076924
spec,1.0,1.0,0.9615384615384615,0.9615384615384615,0.9846153846153847,0.9615384615384615,0.8384615384615385,0.9115384615384616,0.9230769230769231
mcc,0.9622504486493761,0.9258200997725515,0.9230769230769231,0.9230769230769231,0.7727846860791181,0.9230769230769231,0.5967580827009564,0.6791588353519862,0.6324555320336759
f1_score,0.980392156862745,0.9600000000000002,0.9615384615384615,0.9615384615384615,0.8611341854040413,0.9615384615384615,0.7836208348442929,0.816756573389536,0.7826086956521738
