,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9807692307692306,0.9423076923076923,0.9807692307692306,0.9807692307692306,0.8615384615384614,0.9615384615384615,0.7673076923076922,0.7538461538461538,0.8076923076923077
auc,0.9985207100591715,0.9940828402366864,0.9807692307692306,0.9985207100591715,0.9594674556213016,0.9800295857988168,0.7673076923076925,0.7538461538461538,0.8076923076923077
sen,0.9615384615384615,0.8846153846153848,0.9615384615384615,1.0,0.7576923076923077,0.9230769230769231,0.6961538461538461,0.7,0.6923076923076924
spec,1.0,1.0,1.0,0.9615384615384615,0.9653846153846153,1.0,0.8384615384615385,0.8076923076923077,0.9230769230769231
mcc,0.9622504486493761,0.8905635565617211,0.9622504486493761,0.9622504486493761,0.741130167679527,0.9258200997725515,0.5511433015022537,0.5282990179798074,0.6324555320336759
f1_score,0.980392156862745,0.9387755102040816,0.980392156862745,0.9811320754716981,0.8448261518222042,0.9600000000000002,0.7519653401464362,0.7428473797571745,0.7826086956521738
