,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.846153846153846,0.9230769230769231,0.9615384615384615,0.8326923076923076,0.9230769230769231,0.769230769230769,0.7403846153846153,0.8076923076923077
auc,0.9926035502958579,0.9822485207100591,0.9223372781065089,0.9926035502958579,0.9393491124260354,0.9415680473372781,0.7692307692307692,0.7403846153846154,0.8076923076923077
sen,0.846153846153846,0.7307692307692307,0.8846153846153848,1.0,0.7230769230769231,0.8846153846153848,0.7269230769230769,0.7038461538461539,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.9423076923076923,0.9615384615384615,0.8115384615384615,0.776923076923077,0.9230769230769231
mcc,0.8131232472954846,0.7115124735378854,0.8486684247915053,0.9258200997725515,0.6849096168073839,0.8486684247915053,0.5537443900573655,0.4874575930246056,0.6324555320336759
f1_score,0.8979591836734695,0.8260869565217392,0.9199999999999999,0.962962962962963,0.8110746824839385,0.9199999999999999,0.7575309513903737,0.7321720798290128,0.7826086956521738
