,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.846153846153846,0.9230769230769231,0.9423076923076923,0.8211538461538461,0.8846153846153848,0.7576923076923078,0.7346153846153846,0.8076923076923077
auc,0.9911242603550294,0.9748520710059172,0.9208579881656804,0.9911242603550294,0.9330621301775149,0.9215976331360947,0.7576923076923077,0.7346153846153846,0.8076923076923077
sen,0.846153846153846,0.7692307692307693,0.8846153846153848,1.0,0.7076923076923076,0.8076923076923077,0.7076923076923076,0.6884615384615385,0.6923076923076924
spec,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.8846153846153848,0.9346153846153846,0.9615384615384615,0.8076923076923077,0.7807692307692309,0.9230769230769231
mcc,0.8131232472954846,0.7006490497453707,0.8486684247915053,0.8905635565617211,0.6621792315922669,0.778498944161523,0.5235433488692518,0.48743502140855527,0.6324555320336759
f1_score,0.8979591836734695,0.8333333333333333,0.9199999999999999,0.9454545454545455,0.7967224653892591,0.875,0.7481905911458052,0.7220556290648025,0.7826086956521738
