,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9423076923076923,0.9615384615384615,0.9807692307692306,0.848076923076923,0.9423076923076923,0.7365384615384616,0.751923076923077,0.8076923076923077
auc,0.9940828402366864,0.989644970414201,0.9600591715976332,0.9940828402366864,0.9447485207100591,0.9607988165680474,0.7365384615384617,0.751923076923077,0.8076923076923077
sen,0.9230769230769231,0.9230769230769231,0.9615384615384615,1.0,0.7384615384615383,0.9230769230769231,0.7192307692307692,0.7538461538461539,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9576923076923078,0.9615384615384615,0.753846153846154,0.7500000000000001,0.9230769230769231
mcc,0.885270412757426,0.885270412757426,0.9230769230769231,0.9622504486493761,0.7171795043687867,0.885270412757426,0.4829076868538718,0.5095371196715273,0.6324555320336759
f1_score,0.9411764705882353,0.9411764705882353,0.9615384615384615,0.9811320754716981,0.8266165905648958,0.9411764705882353,0.7343289291908311,0.7547088761734072,0.7826086956521738
