,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9423076923076923,0.9423076923076923,0.9807692307692306,0.8519230769230768,0.9423076923076923,0.7711538461538462,0.7903846153846155,0.8076923076923077
auc,0.9985207100591715,0.9955621301775148,0.960059171597633,0.9985207100591715,0.968860946745562,0.9423076923076923,0.7711538461538462,0.7903846153846155,0.8076923076923077
sen,0.9230769230769231,0.8846153846153848,0.9230769230769231,1.0,0.7461538461538462,0.9230769230769231,0.7307692307692307,0.6923076923076923,0.6923076923076924
spec,1.0,1.0,0.9615384615384615,0.9615384615384615,0.9576923076923076,0.9615384615384615,0.8115384615384617,0.8884615384615385,0.9230769230769231
mcc,0.9258200997725515,0.8905635565617211,0.885270412757426,0.9622504486493761,0.7228325826337456,0.885270412757426,0.5531226995764355,0.6005419748086942,0.6324555320336759
f1_score,0.9600000000000002,0.9387755102040816,0.9411764705882353,0.9811320754716981,0.8342484451697846,0.9411764705882353,0.7641534905943399,0.7687145710833102,0.7826086956521738
