,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9615384615384615,0.9230769230769231,0.9423076923076923,0.8769230769230768,0.9230769230769231,0.848076923076923,0.8499999999999999,0.846153846153846
auc,0.9889053254437871,0.9866863905325445,0.9408284023668643,0.9889053254437871,0.9712278106508876,0.9408284023668638,0.8480769230769234,0.8500000000000002,0.8461538461538465
sen,0.9230769230769231,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.8192307692307693,0.9230769230769231,0.7692307692307693,0.7884615384615385,0.7307692307692307
spec,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.9230769230769231,0.9346153846153846,0.9230769230769231,0.926923076923077,0.9115384615384615,0.9615384615384615
mcc,0.885270412757426,0.9230769230769231,0.846153846153846,0.885270412757426,0.7609148190942785,0.846153846153846,0.7084978080907642,0.7109148545399006,0.7115124735378854
f1_score,0.9411764705882353,0.9615384615384615,0.9230769230769231,0.9433962264150944,0.8674968855466714,0.9230769230769231,0.8343741765480897,0.8390382081686429,0.8260869565217392
