,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9423076923076923,0.8211538461538461,0.9038461538461539,0.7096153846153846,0.7153846153846154,0.8076923076923077
auc,0.9889053254437867,0.9837278106508875,0.903846153846154,0.9881656804733728,0.9257396449704143,0.903846153846154,0.7096153846153846,0.7153846153846155,0.8076923076923077
sen,0.846153846153846,0.846153846153846,0.846153846153846,1.0,0.6961538461538461,0.846153846153846,0.6961538461538461,0.6884615384615385,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8846153846153848,0.9461538461538461,0.9615384615384615,0.7230769230769231,0.7423076923076924,0.9230769230769231
mcc,0.8131232472954846,0.8131232472954846,0.8131232472954846,0.8905635565617211,0.6644225465403782,0.8131232472954846,0.42174357964633497,0.43876475830493133,0.6324555320336759
f1_score,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.9454545454545455,0.7932112422735877,0.8979591836734695,0.7046196660482376,0.7101679833479632,0.7826086956521738
