,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9230769230769231,0.9423076923076923,0.9615384615384615,0.9615384615384615,0.9096153846153847,0.9615384615384615,0.8615384615384614,0.8557692307692308,0.846153846153846
auc,0.9911242603550294,0.9718934911242604,0.9755917159763314,0.9807692307692306,0.9474112426035504,0.9615384615384615,0.8615384615384614,0.8557692307692308,0.8461538461538465
sen,0.8846153846153848,0.9615384615384615,1.0,1.0,0.9076923076923078,1.0,0.8923076923076924,0.8461538461538461,0.7692307692307693
spec,0.9615384615384615,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9115384615384616,0.9230769230769231,0.8307692307692307,0.8653846153846155,0.9230769230769231
mcc,0.8486684247915053,0.885270412757426,0.9258200997725515,0.9258200997725515,0.8221896662464742,0.9258200997725515,0.7286761603724725,0.7181659938873094,0.7006490497453707
f1_score,0.9199999999999999,0.9433962264150944,0.962962962962963,0.962962962962963,0.9079110809854429,0.962962962962963,0.8648484848484849,0.8530303030303029,0.8333333333333333
