,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.8846153846153848,0.846153846153846,0.9038461538461539,0.9423076923076923,0.8288461538461538,0.9038461538461539,0.7442307692307694,0.7865384615384615,0.8076923076923077
auc,0.9911242603550294,0.9792899408284022,0.9031065088757397,0.9911242603550294,0.9440088757396451,0.903846153846154,0.7442307692307694,0.7865384615384616,0.8076923076923077
sen,0.8076923076923077,0.7692307692307693,0.846153846153846,1.0,0.726923076923077,0.846153846153846,0.7192307692307692,0.6884615384615385,0.6923076923076924
spec,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.8846153846153848,0.9307692307692307,0.9615384615384615,0.7692307692307692,0.8846153846153847,0.9230769230769231
mcc,0.778498944161523,0.7006490497453707,0.8131232472954846,0.8905635565617211,0.6759910078402834,0.8131232472954846,0.4960181463683543,0.5943464241864278,0.6324555320336759
f1_score,0.875,0.8333333333333333,0.8979591836734695,0.9454545454545455,0.8093589062715664,0.8979591836734695,0.7406474086554178,0.7646471477220758,0.7826086956521738
