,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923
auc,0.6326923076923078,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923
sen,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848,0.8846153846153848
spec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mcc,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211,0.8905635565617211
f1_score,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816
