,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9423076923076923,0.9615384615384615,0.9615384615384615,0.8557692307692306,0.9615384615384615,0.7557692307692307,0.7480769230769232,0.8076923076923077
auc,0.9926035502958579,0.9911242603550294,0.9615384615384617,0.9926035502958579,0.9628698224852071,0.9615384615384617,0.7557692307692309,0.7480769230769232,0.8076923076923077
sen,0.9615384615384615,0.9230769230769231,0.9615384615384615,1.0,0.7461538461538462,0.9615384615384615,0.7038461538461538,0.6807692307692308,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.9653846153846155,0.9615384615384615,0.8076923076923078,0.8153846153846155,0.9230769230769231
mcc,0.9230769230769231,0.885270412757426,0.9230769230769231,0.9258200997725515,0.7305674020341224,0.9230769230769231,0.5255805906735849,0.5083929527176057,0.6324555320336759
f1_score,0.9615384615384615,0.9411764705882353,0.9615384615384615,0.962962962962963,0.8374047775418859,0.9615384615384615,0.7429703283262117,0.7301558492545059,0.7826086956521738
