,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9038461538461539,0.9423076923076923,0.9615384615384615,0.8576923076923076,0.9423076923076923,0.8557692307692306,0.8538461538461538,0.846153846153846
auc,0.9889053254437871,0.9955621301775148,0.9423076923076923,0.9889053254437871,0.9727810650887573,0.9607988165680474,0.8557692307692308,0.853846153846154,0.8461538461538465
sen,0.9230769230769231,0.8076923076923077,0.9230769230769231,0.9615384615384615,0.7653846153846153,0.9230769230769231,0.8423076923076925,0.8192307692307693,0.7307692307692307
spec,0.9615384615384615,1.0,0.9615384615384615,0.9615384615384615,0.95,0.9615384615384615,0.8692307692307691,0.8884615384615385,0.9615384615384615
mcc,0.885270412757426,0.8230548917531015,0.885270412757426,0.9230769230769231,0.7287235254645177,0.885270412757426,0.7192523362665607,0.717921632196676,0.7115124735378854
f1_score,0.9411764705882353,0.8936170212765957,0.9411764705882353,0.9615384615384615,0.8424324699352452,0.9411764705882353,0.8523056653491438,0.8469169960474309,0.8260869565217392
