,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.8653846153846152,0.8846153846153848,0.9423076923076923,0.8288461538461538,0.8653846153846152,0.7192307692307693,0.7923076923076923,0.8076923076923077
auc,0.9844674556213018,0.9778106508875737,0.8986686390532548,0.9852071005917159,0.9177514792899408,0.8831360946745563,0.7192307692307691,0.7923076923076924,0.8076923076923077
sen,0.846153846153846,0.7692307692307693,0.846153846153846,1.0,0.7230769230769232,0.8076923076923077,0.6961538461538462,0.7653846153846154,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.8846153846153848,0.9346153846153846,0.9230769230769231,0.7423076923076923,0.8192307692307692,0.9230769230769231
mcc,0.8131232472954846,0.7446687115861395,0.7715167498104595,0.8905635565617211,0.6743832496885475,0.7356829380292479,0.45051736004227,0.597029281183083,0.6324555320336759
f1_score,0.8979591836734695,0.8510638297872342,0.8799999999999999,0.9454545454545455,0.8083827880555946,0.8571428571428574,0.7168760500847671,0.7875882325893488,0.7826086956521738
