,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9038461538461539,0.8653846153846152,0.9230769230769231,0.9423076923076923,0.8019230769230768,0.9038461538461539,0.6884615384615386,0.7365384615384615,0.8076923076923077
auc,0.9911242603550294,0.985207100591716,0.9215976331360947,0.9911242603550294,0.9111686390532545,0.9223372781065089,0.6884615384615386,0.7365384615384615,0.8076923076923077
sen,0.846153846153846,0.7692307692307693,0.8846153846153848,1.0,0.6961538461538462,0.846153846153846,0.6692307692307692,0.6846153846153846,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8846153846153848,0.9076923076923077,0.9615384615384615,0.7076923076923077,0.7884615384615385,0.9230769230769231
mcc,0.8131232472954846,0.7446687115861395,0.8486684247915053,0.8905635565617211,0.6216634693989422,0.8131232472954846,0.38530277160274035,0.482823260286418,0.6324555320336759
f1_score,0.8979591836734695,0.8510638297872342,0.9199999999999999,0.9454545454545455,0.777900776127392,0.8979591836734695,0.6820191164053258,0.7189806636139152,0.7826086956521738
