,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8480769230769228,0.9615384615384615,0.8423076923076922,0.8384615384615384,0.8076923076923077
auc,0.9963017751479291,0.9970414201183433,0.9615384615384617,0.9963017751479291,0.970044378698225,0.9607988165680474,0.8423076923076925,0.8384615384615385,0.8076923076923077
sen,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.7423076923076923,0.9615384615384615,0.7192307692307692,0.7692307692307694,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.953846153846154,0.9615384615384615,0.9653846153846153,0.9076923076923078,0.9230769230769231
mcc,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.713568841607793,0.9230769230769231,0.7075100469384907,0.6893704568471406,0.6324555320336759
f1_score,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8295437445687215,0.9615384615384615,0.8197337377822718,0.8245454545454546,0.7826086956521738
