,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.8846153846153848,0.846153846153846,0.8846153846153848,0.9423076923076923,0.8192307692307692,0.8846153846153848,0.775,0.7211538461538463,0.8076923076923077
auc,0.9874260355029586,0.9630177514792899,0.8846153846153848,0.9874260355029586,0.925739644970414,0.9001479289940832,0.7750000000000001,0.721153846153846,0.8076923076923077
sen,0.8076923076923077,0.7692307692307693,0.8076923076923077,1.0,0.7115384615384616,0.8076923076923077,0.7115384615384615,0.6846153846153846,0.6923076923076924
spec,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.8846153846153848,0.926923076923077,0.9615384615384615,0.8384615384615387,0.7576923076923079,0.9230769230769231
mcc,0.778498944161523,0.7006490497453707,0.778498944161523,0.8905635565617211,0.6577954095581147,0.778498944161523,0.5623761032971928,0.44966188746577646,0.6324555320336759
f1_score,0.875,0.8333333333333333,0.875,0.9454545454545455,0.798323665679538,0.875,0.759955722079264,0.7130755448939687,0.7826086956521738
