,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9423076923076923,0.8596153846153844,0.9615384615384615,0.85,0.8442307692307691,0.8076923076923077
auc,0.9918639053254437,0.9940828402366864,0.9600591715976332,0.9918639053254437,0.9774408284023668,0.959319526627219,0.85,0.8442307692307693,0.8076923076923077
sen,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.7692307692307692,0.9615384615384615,0.7923076923076924,0.7615384615384617,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.95,0.9615384615384615,0.9076923076923077,0.9269230769230768,0.9230769230769231
mcc,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.885270412757426,0.7340914228602506,0.9230769230769231,0.7140465436374681,0.7058964877964138,0.6324555320336759
f1_score,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9433962264150944,0.8432906385873714,0.9615384615384615,0.8387140362165642,0.8282529031467354,0.7826086956521738
