,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9615384615384615,0.9423076923076923,0.9615384615384615,0.8653846153846153,0.9423076923076923,0.844230769230769,0.8442307692307691,0.846153846153846
auc,0.9918639053254437,0.9926035502958579,0.9408284023668638,0.9918639053254437,0.9773668639053253,0.9393491124260358,0.8442307692307696,0.8442307692307693,0.8461538461538465
sen,0.9230769230769231,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.7730769230769231,0.9230769230769231,0.75,0.7461538461538463,0.7307692307692307
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9576923076923076,0.9615384615384615,0.9384615384615385,0.9423076923076923,0.9615384615384615
mcc,0.885270412757426,0.9230769230769231,0.885270412757426,0.9230769230769231,0.7452147803199611,0.885270412757426,0.7024500347730536,0.7077544086291241,0.7115124735378854
f1_score,0.9411764705882353,0.9615384615384615,0.9411764705882353,0.9615384615384615,0.8497022581180766,0.9411764705882353,0.8276204920795415,0.8258470447651438,0.8260869565217392
