,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9807692307692306,0.9807692307692306,0.9615384615384615,0.9615384615384615,0.8557692307692306,0.9615384615384615,0.8365384615384615,0.8365384615384615,0.8076923076923077
auc,0.9963017751479291,0.9970414201183433,0.9800295857988168,0.9963017751479291,0.9710798816568047,0.9615384615384617,0.8365384615384617,0.8365384615384617,0.8076923076923077
sen,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.7423076923076923,0.9615384615384615,0.7269230769230769,0.7076923076923077,0.6923076923076924
spec,1.0,1.0,0.9615384615384615,0.9615384615384615,0.9692307692307693,0.9615384615384615,0.9461538461538461,0.9653846153846153,0.9230769230769231
mcc,0.9622504486493761,0.9622504486493761,0.9230769230769231,0.9230769230769231,0.7316695326843489,0.9230769230769231,0.6917816165133713,0.698943911202152,0.6324555320336759
f1_score,0.980392156862745,0.980392156862745,0.9615384615384615,0.9615384615384615,0.8367778805632644,0.9615384615384615,0.8151997172145634,0.8110204115185743,0.7826086956521738
