,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9615384615384615,0.9423076923076923,0.9615384615384615,0.8249999999999998,0.9423076923076923,0.8288461538461538,0.8153846153846154,0.8076923076923077
auc,0.9948224852071006,0.9940828402366864,0.9423076923076923,0.9948224852071006,0.9661242603550297,0.9607988165680474,0.828846153846154,0.8153846153846154,0.8076923076923077
sen,0.9230769230769231,0.9615384615384615,0.9230769230769231,0.9615384615384615,0.6884615384615385,0.9230769230769231,0.7076923076923077,0.676923076923077,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.95,0.9538461538461538,0.9230769230769231
mcc,0.885270412757426,0.9230769230769231,0.885270412757426,0.9230769230769231,0.6766705454671729,0.885270412757426,0.6837932561624986,0.6578697148532795,0.6324555320336759
f1_score,0.9411764705882353,0.9615384615384615,0.9411764705882353,0.9615384615384615,0.7956877419288946,0.9411764705882353,0.8029451236326869,0.7838043683773541,0.7826086956521738
