,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9807692307692306,0.9230769230769231,0.9615384615384615,0.9615384615384615,0.8423076923076922,0.9423076923076923,0.8192307692307692,0.7865384615384616,0.8076923076923077
auc,0.9963017751479291,0.9940828402366864,0.9785502958579884,0.9963017751479291,0.9732988165680474,0.9607988165680474,0.8192307692307692,0.7865384615384616,0.8076923076923077
sen,0.9615384615384615,0.8846153846153848,0.9615384615384615,0.9615384615384615,0.7153846153846154,0.9230769230769231,0.6807692307692308,0.7423076923076923,0.6923076923076924
spec,1.0,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9692307692307693,0.9615384615384615,0.9576923076923078,0.8307692307692308,0.9230769230769231
mcc,0.9622504486493761,0.8486684247915053,0.9230769230769231,0.9230769230769231,0.7082374028099292,0.885270412757426,0.668544635917956,0.5928733871879747,0.6324555320336759
f1_score,0.980392156862745,0.9199999999999999,0.9615384615384615,0.9615384615384615,0.8191690260607929,0.9411764705882353,0.7877123973464203,0.7760565011451594,0.7826086956521738
