,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.9038461538461539,0.9038461538461539,0.9423076923076923,0.9173076923076922,0.9038461538461539,0.9000000000000001,0.9076923076923078,0.8846153846153848
auc,0.9548816568047338,0.9548816568047338,0.9548816568047338,0.9548816568047338,0.9522189349112425,0.9038461538461539,0.9377218934911241,0.8974852071005917,0.8187869822485208
sen,0.8846153846153848,0.9230769230769231,0.9230769230769231,0.8846153846153848,0.8807692307692306,0.9230769230769231,0.9153846153846155,0.8846153846153848,0.8846153846153848
spec,1.0,0.8846153846153848,0.8846153846153848,1.0,0.9538461538461538,0.8846153846153848,0.8846153846153848,0.9307692307692308,0.8846153846153848
mcc,0.8905635565617211,0.8082903768654759,0.8082903768654759,0.8905635565617211,0.839093458796002,0.8082903768654759,0.8004784553385347,0.81776388416315,0.7692307692307693
f1_score,0.9387755102040816,0.9056603773584906,0.9056603773584906,0.9387755102040816,0.9147941905354304,0.9056603773584906,0.9014513788098693,0.9062794348508634,0.8846153846153848
