,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.8923076923076924,0.9423076923076923,0.851923076923077,0.8499999999999999,0.846153846153846
auc,0.9866863905325445,0.9748520710059172,0.958579881656805,0.985207100591716,0.9560650887573965,0.9408284023668638,0.8519230769230772,0.8500000000000003,0.8461538461538465
sen,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.8730769230769232,0.9615384615384615,0.803846153846154,0.7884615384615385,0.7307692307692307
spec,0.9615384615384615,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9115384615384616,0.9230769230769231,0.9000000000000001,0.9115384615384616,0.9615384615384615
mcc,0.9230769230769231,0.885270412757426,0.885270412757426,0.885270412757426,0.7877942792215276,0.885270412757426,0.7144182433682882,0.7109148545399007,0.7115124735378854
f1_score,0.9615384615384615,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.8889275837000588,0.9433962264150944,0.842977602108037,0.8390382081686429,0.8260869565217392
