,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9615384615384615,0.9615384615384615,0.9423076923076923,0.9807692307692306,0.8634615384615385,0.9423076923076923,0.7519230769230769,0.8038461538461539,0.8076923076923077
auc,0.9970414201183433,0.9955621301775148,0.960059171597633,0.9970414201183433,0.9588017751479292,0.9607988165680474,0.7519230769230771,0.8038461538461539,0.8076923076923077
sen,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.7730769230769231,0.9230769230769231,0.6846153846153846,0.7884615384615385,0.6923076923076924
spec,1.0,1.0,0.9615384615384615,0.9615384615384615,0.9538461538461538,0.9615384615384615,0.8192307692307693,0.8192307692307693,0.9230769230769231
mcc,0.9258200997725515,0.9258200997725515,0.885270412757426,0.9622504486493761,0.7409010744555194,0.885270412757426,0.515992846717086,0.6178007813914583,0.6324555320336759
f1_score,0.9600000000000002,0.9600000000000002,0.9411764705882353,0.9811320754716981,0.8484242334615004,0.9411764705882353,0.7360508238451328,0.8017767739506871,0.7826086956521738
