,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9807692307692306,0.8269230769230769,0.9807692307692306,0.9615384615384615,0.8846153846153847,0.9807692307692306,0.7653846153846154,0.8153846153846154,0.8076923076923077
auc,0.9985207100591715,0.9748520710059172,0.9807692307692306,0.9985207100591715,0.9768491124260356,0.9800295857988168,0.7653846153846156,0.8153846153846155,0.8076923076923077
sen,0.9615384615384615,0.6923076923076924,0.9615384615384615,0.9615384615384615,0.7884615384615385,0.9615384615384615,0.7,0.7384615384615385,0.6923076923076924
spec,1.0,0.9615384615384615,1.0,0.9615384615384615,0.9807692307692308,1.0,0.8307692307692308,0.8923076923076924,0.9230769230769231
mcc,0.9622504486493761,0.6789146042562412,0.9622504486493761,0.9230769230769231,0.7855400548485062,0.9622504486493761,0.544716088726273,0.6468576284768817,0.6324555320336759
f1_score,0.980392156862745,0.7999999999999999,0.980392156862745,0.9615384615384615,0.8701211277491682,0.980392156862745,0.7503199222538787,0.797079223439183,0.7826086956521738
