,Svm,Catboost,Knn,logisticregression,Randomforest,Bayes,Adaboost,Decision_tree,lightgbm
acc,0.9423076923076923,0.8653846153846152,0.9615384615384615,0.9615384615384615,0.846153846153846,0.9423076923076923,0.701923076923077,0.7076923076923077,0.8076923076923077
auc,0.9926035502958579,0.9778106508875741,0.9600591715976332,0.9926035502958579,0.9525887573964497,0.9607988165680474,0.7019230769230769,0.7076923076923077,0.8076923076923077
sen,0.9230769230769231,0.7692307692307693,0.9615384615384615,1.0,0.7384615384615385,0.9230769230769231,0.6846153846153846,0.6423076923076922,0.6923076923076924
spec,0.9615384615384615,0.9615384615384615,0.9615384615384615,0.9230769230769231,0.9538461538461538,0.9615384615384615,0.7192307692307693,0.7730769230769231,0.9230769230769231
mcc,0.885270412757426,0.7446687115861395,0.9230769230769231,0.9258200997725515,0.7110558292686314,0.885270412757426,0.4135137670075986,0.4271195542528921,0.6324555320336759
f1_score,0.9411764705882353,0.8510638297872342,0.9615384615384615,0.962962962962963,0.8262454334353369,0.9411764705882353,0.697717652167731,0.6877641808937895,0.7826086956521738
