,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6635897435897435,0.7806410256410257,0.8215384615384614,0.8215384615384614,0.7707692307692307,0.8570512820512821,0.7348717948717949
auc,0.9387626303902048,0.8697582257136032,0.8337748205053697,0.9382363146007311,0.7705124966566614,0.8938997925754218,0.732151512674968
f1_score,0.6655748346909351,0.7890535651768001,0.8361572921851665,0.8361572921851665,0.7660164397006503,0.8614398719276768,0.7329627286149025
sen,0.7484541062801933,0.8310246631070429,0.9100533943554538,0.9100533943554538,0.7562471395881006,0.8926620900076279,0.7275514874141876
spec,0.6288744588744588,0.740091706539075,0.7317327409432672,0.7317327409432672,0.7847778537252221,0.831029277739804,0.7367515379357485
mcc,0.45674355221330687,0.5730473454655488,0.6505084063960582,0.6505084063960582,0.5399809632913659,0.7242335824262438,0.4648412636335745
