,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6738461538461539,0.7449999999999999,0.8523076923076924,0.8523076923076924,0.7449999999999999,0.8521794871794871,0.7043589743589743
auc,0.9267281084243326,0.8452566996102465,0.8630467610616351,0.9262017926348589,0.7473859550060923,0.8995631081986918,0.7051504419811057
f1_score,0.6766530278232407,0.7664232885307841,0.8610658036340544,0.8610658036340544,0.7516046213093709,0.8575555612849997,0.7212280701754386
sen,0.7708695652173913,0.8380244088482076,0.9279710144927537,0.9279710144927537,0.7772234935163997,0.8883574879227052,0.7650012712941775
spec,0.6287309182046024,0.6543905217589427,0.7821343130553656,0.7821343130553656,0.7175484164957849,0.8197966507177034,0.6452996126680337
mcc,0.47152927257896593,0.49959288637869026,0.7174925435134031,0.7174925435134031,0.4946620812924737,0.7188018659103177,0.4112115687688977
