,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6687179487179487,0.7758974358974359,0.8166666666666667,0.8166666666666667,0.698974358974359,0.8366666666666666,0.7451282051282051
auc,0.9388451076637576,0.8776883317758604,0.8426233774488923,0.9372689450349633,0.7021382466376747,0.8851884280860254,0.7480164838974908
f1_score,0.6726379310344828,0.7884761617559234,0.829122517337359,0.829122517337359,0.7041436925647452,0.8401283697047497,0.744771018455229
sen,0.7466234426646325,0.8368370200864479,0.8982227307398931,0.8982227307398931,0.7268904144419018,0.8634401220442409,0.7485278413424866
spec,0.6393506493506493,0.7227443609022556,0.7414336978810663,0.7414336978810663,0.6773860788334473,0.8218449532923217,0.7475051264524949
mcc,0.45585694979725516,0.5673887880653666,0.6472155578401037,0.6472155578401037,0.4065879692655038,0.6838199793009468,0.4973056923670739
