,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6842307692307692,0.8273076923076925,0.8728205128205129,0.8728205128205129,0.7452564102564103,0.8778205128205128,0.7452564102564103
auc,0.9642638931540531,0.882958194233938,0.9053864500403401,0.9626849457856321,0.7467077443278818,0.9152547624000714,0.7491017481120456
f1_score,0.7001847209394378,0.8331575768173074,0.8749008409525556,0.8749008409525556,0.7524760601915185,0.8763206155844303,0.7474448315911729
sen,0.7869565217391304,0.8462522247648104,0.8952224764810577,0.8952224764810577,0.7755275870836511,0.8691355199593186,0.7476099669463514
spec,0.6292640692640692,0.816540783777626,0.8444953292321713,0.8444953292321713,0.717887901572112,0.8910862383230803,0.7505935292777398
mcc,0.49485341976686953,0.66431325456949,0.7477607391864598,0.7477607391864598,0.49647234839983606,0.7598132108494481,0.497739138877664
