,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.673974358974359,0.7452564102564103,0.8325641025641026,0.8325641025641026,0.7296153846153847,0.8375641025641025,0.7655128205128205
auc,0.9606758084275248,0.8478210513107538,0.845730581394197,0.9596259615882042,0.7330112625106904,0.9077089297684262,0.7730425908314923
f1_score,0.7056847913990771,0.7553170853842746,0.852886216466235,0.852886216466235,0.7378572820066087,0.8540404040404042,0.7793071165164187
sen,0.8058454106280195,0.7976150521230613,0.9490821256038646,0.9490821256038646,0.7691126366641241,0.9316908212560385,0.8217442156114926
spec,0.5921645021645021,0.7071371610845295,0.7296183640920483,0.7296183640920483,0.6969098883572568,0.760733082706767,0.7243409660514923
mcc,0.47044243901471583,0.5130171655382868,0.6981905016493565,0.6981905016493565,0.4690070083392023,0.7047424729669596,0.5514063194331347
