,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6939743589743589,0.8012820512820513,0.8674358974358973,0.8674358974358973,0.7652564102564103,0.8774358974358976,0.7502564102564102
auc,0.9625021050650341,0.9031041522889349,0.880485632999935,0.9630312055941346,0.7704788403815863,0.932779626932945,0.7560488259515719
f1_score,0.6957056737588653,0.8001393728222996,0.8728305831078436,0.8728305831078436,0.7573458073458073,0.8805309935542495,0.7440540540540541
sen,0.7671497584541063,0.8001067887109077,0.9187490465293668,0.9187490465293668,0.7406102212051868,0.9013577421815409,0.7294991100940758
spec,0.6661471861471862,0.8131749829118249,0.8179095465937571,0.8179095465937571,0.8003474595579858,0.8610913647755754,0.7825985418090682
mcc,0.5025049958910326,0.6182109984397263,0.7384310775913624,0.7384310775913624,0.5407894983734616,0.7623008163382705,0.51200537182501
