,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6787307692307691,0.7741666666666667,0.8394871794871795,0.8394871794871795,0.7281153846153846,0.8531153846153847,0.7358846153846155
auc,0.9422205274384907,0.8609701031234211,0.8567089703562816,0.9409688376078537,0.7298765627012196,0.9017338757521823,0.7372917628392457
f1_score,0.6843301596234042,0.7771255145218776,0.8499501922750536,0.8499501922750536,0.7326542919139645,0.8580588652253727,0.7410515049673947
sen,0.7658410882278159,0.7951561149249936,0.9116834477498091,0.9116834477498091,0.7512921434019832,0.8848718535469107,0.7576219171116196
spec,0.6395996810207337,0.7599711209842788,0.7687659489633173,0.7687659489633173,0.7084609820004556,0.829458589655958,0.7169616085668717
mcc,0.47977527095944267,0.5591775441994645,0.6900295344423804,0.6900295344423804,0.461623728010491,0.7173574437787675,0.4764513263578743
