,Svm,RF,Bayes,LG,Adaboost,knn,DT
acc,0.6785897435897437,0.7448717948717949,0.8214102564102564,0.8214102564102564,0.7043589743589743,0.8469230769230769,0.724871794871795
auc,0.9549803307125961,0.8298704160489058,0.841222115455525,0.9519500276822932,0.7082794271581456,0.9204691873513384,0.7247382372267956
f1_score,0.6628513533072804,0.737409642287691,0.8382955190017016,0.8382955190017016,0.7068413673064836,0.8568354003464611,0.7358664720366849
sen,0.7408695652173913,0.7298321891685736,0.9298601576404779,0.9298601576404779,0.7187210780574625,0.9037732011187389,0.7661123824052887
spec,0.6670562770562771,0.7682923217133745,0.7152039188881294,0.7152039188881294,0.6978377762588289,0.802866256550467,0.6833640920483026
mcc,0.49002478328891186,0.4969789740212942,0.6587034700288823,0.6587034700288823,0.4161780243680876,0.7127701627651817,0.45104083280812796
